front_images_url,product_name,brand,category,gender,regular_price,current_price,discount_rate,color_text,material,details,sizes_available,fit,length,sleeve_length,style,lining,thickness,season,transparency,elasticity,rating,reviews,product_detail_url,crawled_at
,hourglass jacket,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,striped cropped shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,shaped t-shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,shaped t-shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,paintbrush shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,tank top,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,kick denim jacket,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,a-line boxer shorts,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,cropped t-shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,a-line boxer shorts,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,embroidered maxi dress,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,gathered open back dress,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,the door long draped dress,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,wfp regular zip-up hoodie,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,wfp regular zip-up hoodie,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,wfp medium fit t-shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,wfp medium fit t-shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,wfp cropped t-shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,wfp shorts,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,the song of the highest tower small fit t-shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,classic ink short sleeve top,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,techwear short long sleeve bodysuit,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,techwear bra top,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,techwear bra tank top,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,techwear seamless tank top,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,brush scratch cut-out dress,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,brush scratch scarf top,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,brush scratch pyjama pants,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,raffia bucket hat,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,off-shoulder mini dress,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,mini cocoon dress,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,midi sack dress,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,draped dress,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,paintbrush cape top,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,paintbrush pyjama pants,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,draped midi dress,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,extreme tie dye long sleeve dress,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,cropped shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,high waist slim jeans,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,draped back shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,tulip bermuda,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,top,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,skort,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,dream zip-up hoodie,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,dream medium fit t-shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,cropped tracksuit jacket,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,tailored bermuda,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,extreme tie dye bowling shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,extreme tie dye a-line boxer shorts,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,blouson,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,cropped shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,short blouse,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,low crotch baggy jeans,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,vintage surfer oversized t-shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,the window medium fit t-shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,extreme tie dye swimsuit,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,python swimsuit,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,peacoat,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,balloon shorts,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,high collar blouson,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,short cape,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,folded short trench,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,folded short trench,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,classic shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,classic shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,cropped t-shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,fluffy feathers pencil skirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,super cropped top,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,balloon shorts,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,long trench coat,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,scarf shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,long peacoat,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,cropped crewneck,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,scarf top,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,high-waist pants,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,long sack dress,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,long gloves,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,long sack coat,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,tulip top,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,vareuse dress,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,cristóbal gown dress,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,vareuse dress,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,mini sack dress,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,long sleeve balloon dress,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,draped back bow dress,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,wrap jacket,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,tulip bermuda,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,sweater,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,oversized t-shirt body,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,520 stickers medium fit t-shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,the door oversized t-shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,salon de couture shaped t-shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,train cropped t-shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,flowers cocoon bomber,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,folded shorts,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,off-shoulder wrap shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,off-shoulder wrap shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,dress in silk intarsia hand knit,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,double maxi ballon dress,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,train shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,halter balloon mini dress,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,short sack dress,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,slim tailored pants,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,cocoon dress,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,draped bustier dress,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,mini balloon dress,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,long gloves,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,off-shoulder dress,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,long gloves,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,tank top,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,tank top,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,sketchy short sleeve top,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,sketchy zip-up hoodie,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
